group,keyword,intent,value,difficulty,firsthand,priority_score,volume
B 人を探す,映像クリエイター 探し方,5,4,1,5,500,
D 選定,映像制作者 選び方,5,4,1,5,500,
D 選定,動画制作 見積書 見方,5,4,1,5,500,
B 人を探す,ディレクター 外注 映像,4,4,1,5,400,
A 外注検討,ドキュメンタリー 動画 制作 依頼,4,4,1,5,400,
B 人を探す,映像制作 見つけ方,5,4,2,5,400,
B 人を探す,映像制作 探し方,5,4,2,5,400,
F 運用,制作 依頼 ブリーフ テンプレート,5,4,1,4,400,
B 人を探す,制作会社 フリーランス どっち,5,4,2,5,400,
B 人を探す,制作会社 フリーランス 違い,5,4,2,5,400,
E 契約,動画 著作権 納品 外注,4,4,1,5,400,
B 人を探す,動画クリエイター 依頼 個人,5,4,2,5,400,
B 人を探す,動画制作 見つけ方,5,4,2,5,400,
D 選定,動画制作 見積もり 比較,5,4,2,5,400,
B 人を探す,動画制作 探し方,5,4,2,5,400,
B 人を探す,動画編集 見つけ方,5,4,2,5,400,
B 人を探す,動画編集 探し方,5,4,2,5,400,
B 人を探す,動画編集者 探し方,5,4,2,5,400,
D 選定,フリーランス 見極め,5,3,1,5,375,
E 契約,フリーランス法 メール 明示,5,5,1,3,375,
E 契約,フリーランス法 小規模事業者,5,5,1,3,375,
D 選定,業務委託 見極め方,5,3,1,5,375,
E 契約,発注書 メール,5,5,1,3,375,
A 外注検討,インタビュー動画 制作 依頼,4,4,2,5,320,
B 人を探す,カメラマン 見つけ方,5,4,2,4,320,
B 人を探す,カメラマン 探し方,5,4,2,4,320,
F 運用,外注 進行管理,4,4,1,4,320,
F 運用,外注 進捗管理 方法,4,4,1,4,320,
B 人を探す,外注先 見つけ方,5,4,2,4,320,
B 人を探す,外注先 探し方,5,4,2,4,320,
B 人を探す,広報 見つけ方,5,4,2,4,320,
B 人を探す,広報 探し方,5,4,2,4,320,
G 比較,動画 確認 ツール 修正指示,4,4,2,5,320,
