company,service,products,dept_candidate,partner_program,target_users,contact_method,status,note
freee株式会社,freeeサイン / freee会計 / freee業務委託管理,電子契約・会計・業務委託管理,パートナー/アライアンス部門,公式アフィリエイトの募集ページあり(条件未確認),小規模法人・個人事業主,公式パートナー募集ページ,調査中,
GMOグローバルサイン・ホールディングス株式会社,電子印鑑GMOサイン,電子契約,パートナー営業,アフィリエイトプログラムのページあり(条件未確認),中小〜大企業,公式ページ,調査中,
弁護士ドットコム株式会社,クラウドサイン,電子契約,パートナー営業,未確認,中小〜大企業,公式サイト問い合わせ,未着手,
株式会社マネーフォワード,マネーフォワード クラウド,会計・請求・契約,パートナー部門,未確認,中小企業,公式サイト,未着手,
株式会社ランサーズ,ランサーズ,クラウドソーシング・エージェント,法人営業,未確認,中小企業,公式サイト,未着手,
株式会社クラウドワークス,クラウドワークス,クラウドソーシング,法人営業,未確認,中小企業,公式サイト,未着手,
株式会社ココナラ,ココナラ / ココナラビジネス,スキルマーケット,法人営業,未確認,小規模事業者,公式サイト,未着手,
株式会社ヌーラボ,Backlog,プロジェクト管理,パートナー部門,未確認,中小企業,公式サイト,未着手,
Lansmart提供会社,Lansmart,フリーランスマネジメント,営業,未確認,中堅〜大企業,公式サイト,未着手,社名は公式で要確認
フリーランスフォース提供会社,フリーランスフォース,フリーランスマネジメント,営業,未確認,中堅企業,公式サイト,未着手,社名は公式で要確認
